Marital Status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Bracket,Purchased Bike
Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,41-50,No
Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,41-50,No
Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,51-60,No
Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,31-40,Yes
Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,41-50,No
Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,41-50,Yes
Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,51-60,Yes
Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,31-40,No
Married,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,31-40,Yes
Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,41-50,Yes
Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,31-40,Yes
Single,Male,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,51-60,Yes
Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,41-50,No
Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,31-40,Yes
Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,51-60,Yes
Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,31-40,Yes
Single,Female,80000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,31-40,No
Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,31-40,Yes
Married,Female,80000,5,High School,Management,No,3,5-10 Miles,Europe,56,51-60,No
Single,Male,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,31-40,No
Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,61-70,No
Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,21-30,Yes
Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,41-50,No
Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,31-40,Yes
Married,Female,20000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,61-70,No
Married,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,21-30,Yes
Single,Female,20000,0,High School,Manual,No,1,5-10 Miles,Europe,31,31-40,No
Single,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,41-50,Yes
Single,Male,90000,5,Partial College,Professional,No,2,2-5 Miles,Europe,62,61-70,Yes
Single,Female,10000,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,41-50,No
Married,Female,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,41-50,Yes
Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,21-30,No
Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,28,21-30,No
Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,31-40,Yes
Single,Female,30000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,41-50,No
Single,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,61-70,Yes
Married,Female,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,31-40,No
Married,Female,170000,4,Partial College,Professional,No,3,5-10 Miles,Europe,48,41-50,Yes
Married,Female,20000,3,High School,Manual,Yes,0,0-1 Miles,Europe,41,41-50,Yes
Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,61-70,Yes
Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,41-50,Yes
Single,Female,40000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,51-60,Yes
Married,Male,30000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,41-50,No
Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,21-30,No
Single,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,31-40,No
Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,61-70,No
Single,Female,90000,4,High School,Management,No,3,5-10 Miles,Europe,56,51-60,No
Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,41-50,No
Married,Male,80000,4,High School,Professional,Yes,2,10+ Miles,Europe,54,51-60,No
Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,31-40,Yes
Married,Male,130000,4,Partial College,Professional,No,4,5-10 Miles,Europe,61,61-70,Yes
Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,41-50,Yes
Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,31-40,Yes
Single,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,45,41-50,No
Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,31-40,No
Married,Male,40000,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,51-60,Yes
Single,Male,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,41-50,No
Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Single,Male,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,61-70,No
Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Single,Male,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,33,31-40,Yes
Single,Female,20000,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,41-50,Yes
Married,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,21-30,No
Married,Male,120000,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,31-40,Yes
Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,31-40,No
Married,Female,130000,3,High School,Professional,Yes,4,0-1 Miles,Europe,52,51-60,No
Single,Female,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,36,31-40,Yes
Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,61-70,No
Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,31-40,No
Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,21-30,No
Married,Male,80000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,21-30,Yes
Married,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,41-50,Yes
Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,61-70,Yes
Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,41-50,Yes
Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,31-40,No
Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,41-50,Yes
Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,21-30,No
Single,Male,40000,2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,51-60,Yes
Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,21-30,Yes
Single,Male,130000,3,Partial College,Professional,No,3,0-1 Miles,Europe,51,51-60,Yes
Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,31-40,No
Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,21-30,No
Married,Male,20000,1,High School,Manual,No,1,1-2 Miles,Europe,40,31-40,Yes
Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,21-30,Yes
Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,21-30,Yes
Single,Female,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,31-40,Yes
Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,31-40,No
Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,51-60,No
Single,Female,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,61-70,No
Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,41-50,No
Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,41-50,Yes
Married,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,41-50,No
Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,31-40,No
Single,Male,60000,3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,41-50,Yes
Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,41-50,No
Single,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,41-50,No
Single,Female,70000,2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,41-50,Yes
Married,Male,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,51-60,Yes
Single,Female,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,51-60,Yes
Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,31-40,Yes
Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,31-40,Yes
Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,31-40,No
Single,Female,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,31-40,No
Single,Female,130000,1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,31-40,Yes
Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,21-30,Yes
Single,Male,10000,0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,21-30,Yes
Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,41-50,No
Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,61-70,No
Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,21-30,No
Married,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,61-70,Yes
Married,Male,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,41-50,No
Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,31-40,No
Single,Female,100000,3,Partial College,Management,No,4,5-10 Miles,Europe,56,51-60,No
Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,31-40,Yes
Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,31-40,No
Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,31-40,No
Single,Male,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,51-60,Yes
Single,Male,10000,3,High School,Manual,Yes,1,0-1 Miles,Europe,39,31-40,Yes
Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,31-40,No
Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,56,51-60,Yes
Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,31-40,Yes
Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,61-70,Yes
Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,41-50,No
Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,51-60,No
Single,Female,10000,1,High School,Manual,No,1,5-10 Miles,Europe,35,31-40,Yes
Single,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,41-50,No
Married,Female,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,51-60,Yes
Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,51-60,Yes
Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,31-40,Yes
Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,21-30,Yes
Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,41-50,Yes
Married,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,31-40,No
Single,Male,30000,1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,31-40,Yes
Married,Female,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,31-40,No
Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Married,Female,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,31-40,Yes
Married,Male,20000,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,51-60,No
Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,21-30,No
Single,Male,100000,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,41-50,No
Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,31-40,No
Married,Male,100000,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,41-50,No
Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,41-50,Yes
Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,51-60,No
Single,Male,10000,2,Partial College,Manual,No,0,0-1 Miles,Europe,50,41-50,No
Single,Female,20000,2,Partial College,Manual,No,1,0-1 Miles,Europe,54,51-60,Yes
Married,Female,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,41-50,No
Single,Female,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,41-50,Yes
Married,Female,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,31-40,Yes
Single,Female,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,31-40,Yes
Single,Male,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,51-60,No
Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,21-30,Yes
Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,21-30,No
Single,Male,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,41-50,Yes
Single,Male,100000,0,High School,Management,Yes,3,10+ Miles,Pacific,35,31-40,No
Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,41-50,Yes
Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,41-50,No
Married,Female,130000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,61-70,Yes
Married,Female,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,61-70,No
Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,31-40,No
Married,Female,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,21-30,No
Single,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Single,Female,80000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,51-60,Yes
Single,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,21-30,Yes
Single,Female,110000,2,Partial College,Professional,No,3,5-10 Miles,Europe,48,41-50,No
Married,Male,160000,4,Partial College,Professional,No,2,10+ Miles,Europe,55,51-60,Yes
Married,Female,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Single,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,41-50,No
Married,Female,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,51-60,Yes
Married,Female,10000,2,High School,Manual,No,1,0-1 Miles,Europe,38,31-40,No
Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,61-70,Yes
Married,Female,130000,4,High School,Management,No,4,10+ Miles,Europe,58,51-60,No
Married,Female,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,41-50,Yes
Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,51-60,Yes
Single,Male,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,51-60,No
Married,Female,70000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,31-40,Yes
Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,41-50,Yes
Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,51-60,No
Single,Female,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,61-70,No
Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,41-50,No
Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,31-40,No
Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,21-30,Yes
Married,Male,60000,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,61-70,Yes
Single,Female,100000,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,31-40,Yes
Single,Male,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,31-40,Yes
Single,Male,60000,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,31-40,No
Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,21-30,Yes
Single,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,41-50,Yes
Single,Female,90000,3,High School,Professional,No,1,2-5 Miles,Europe,51,51-60,No
Married,Male,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,41-50,Yes
Single,Male,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,61-70,No
Single,Female,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,21-30,Yes
Single,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,31-40,Yes
Single,Female,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,41-50,Yes
Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,31-40,No
Married,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,31-40,Yes
Single,Male,70000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,31-40,Yes
Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,61-70,Yes
Single,Male,80000,4,Partial College,Professional,No,2,2-5 Miles,Europe,54,51-60,Yes
Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,51-60,No
Single,Male,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,41-50,No
Married,Male,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,41-50,Yes
Single,Male,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,31-40,No
Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,41-50,No
Single,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,31-40,No
Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,61-70,No
Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,42,41-50,Yes
Married,Male,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,41-50,No
Married,Female,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,41-50,No
Single,Male,80000,5,High School,Management,Yes,3,10+ Miles,Europe,57,51-60,No
Married,Male,120000,4,Partial College,Management,Yes,3,10+ Miles,Europe,56,51-60,No
Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,41-50,No
Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,21-30,Yes
Married,Female,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,61-70,Yes
Single,Female,30000,5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,41-50,Yes
Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,21-30,Yes
Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,41-50,No
Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,31-40,Yes
Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,31-40,No
Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,21-30,No
Single,Male,30000,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,31-40,Yes
Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,21-30,No
Married,Female,120000,3,Bachelors,Management,No,2,10+ Miles,Europe,52,51-60,Yes
Married,Male,110000,5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,41-50,Yes
Married,Female,130000,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,51-60,Yes
Married,Female,100000,0,High School,Management,Yes,4,10+ Miles,Pacific,34,31-40,Yes
Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,61-70,No
Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,31-40,Yes
Married,Male,100000,5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,>70,Yes
Married,Male,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,51-60,No
Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,31-40,No
Married,Male,100000,3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,51-60,Yes
Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,51-60,No
Single,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,41-50,Yes
Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,41-50,No
Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,31-40,Yes
Single,Female,100000,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,51-60,No
Married,Male,150000,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,31-40,Yes
Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,41-50,No
